,count
cell_1077,0.0
cell_1078,0.0
cell_1079,0.0
cell_1080,0.0
cell_1081,0.0
cell_1082,0.0
cell_1083,0.0
cell_1084,0.0
cell_1085,2.0
cell_1086,2.0
cell_1087,0.0
cell_1088,5.0
cell_1089,0.0
cell_1090,0.0
cell_1091,4.0
cell_1092,0.0
cell_1093,0.0
cell_1094,3.0
cell_1095,3.0
cell_1096,2.0
cell_1097,0.0
cell_1098,0.0
cell_1099,0.0
cell_1100,0.0
cell_1101,0.0
cell_1102,0.0
cell_1103,1.0
cell_1104,1.0
cell_1105,0.0
cell_1106,0.0
cell_1107,0.0
cell_1108,0.0
cell_1109,1.0
cell_1110,0.0
cell_1111,1.0
cell_1112,0.0
cell_1113,0.0
cell_1114,0.0
cell_1115,1.0
cell_1116,1.0
cell_1117,0.0
cell_1118,3.0
cell_1119,1.0
cell_1120,1.0
cell_1121,0.0
cell_1122,3.0
cell_1123,0.0
cell_1124,5.0
cell_1125,0.0
cell_1126,1.0
cell_1127,1.0
cell_1128,0.0
cell_1129,0.0
cell_1130,4.0
cell_1131,1.0
cell_1132,0.0
cell_1133,1.0
cell_1134,1.0
cell_1135,0.0
cell_1136,0.0
cell_1137,0.0
cell_1138,0.0
cell_1139,0.0
cell_1140,1.0
cell_1141,3.0
cell_1142,0.0
cell_1143,3.0
cell_1144,3.0
cell_1145,2.0
cell_1146,0.0
cell_1147,0.0
cell_1148,0.0
cell_1149,2.0
cell_1150,3.0
cell_1151,3.0
cell_1152,0.0
cell_1153,0.0
cell_1154,2.0
cell_1155,9.0
cell_1156,3.0
cell_1157,1.0
cell_1158,1.0
cell_1159,0.0
cell_1160,0.0
cell_1161,0.0
cell_1162,0.0
cell_1163,0.0
cell_1164,1.0
cell_1165,4.0
cell_1166,0.0
cell_1167,0.0
cell_1168,4.0
cell_1169,4.0
cell_1170,0.0
cell_1171,0.0
cell_1172,2.0
cell_1173,0.0
cell_1174,0.0
cell_1175,0.0
cell_1176,1.0
cell_1177,2.0
cell_1178,0.0
cell_1179,0.0
cell_1180,2.0
