,count,prob
cell_109,1.0,0.9330329915368074
cell_110,1.0,0.9330329915368074
cell_111,1.0,0.9330329915368074
cell_112,1.0,0.9330329915368074
cell_113,1.0,0.9330329915368074
cell_114,1.0,0.9330329915368074
cell_115,1.0,0.9330329915368074
cell_116,1.0,0.9330329915368074
cell_117,1.0,0.9330329915368074
cell_118,1.0,0.9330329915368074
cell_119,1.0,0.9330329915368074
cell_120,2.0,0.8705505632961241
cell_121,1.0,0.9330329915368074
cell_122,1.0,0.9330329915368074
cell_123,1.0,0.9330329915368074
cell_124,1.0,0.9330329915368074
cell_125,1.0,0.9330329915368074
cell_126,1.0,0.9330329915368074
cell_127,2.0,0.8705505632961241
cell_128,1.0,0.9330329915368074
cell_129,1.0,0.9330329915368074
cell_130,1.0,0.9330329915368074
cell_131,1.0,0.9330329915368074
cell_132,1.0,0.9330329915368074
cell_133,1.0,0.9330329915368074
cell_134,1.0,0.9330329915368074
cell_135,1.0,0.9330329915368074
cell_136,1.0,0.9330329915368074
cell_137,1.0,0.9330329915368074
cell_138,1.0,0.9330329915368074
cell_139,1.0,0.9330329915368074
cell_140,1.0,0.9330329915368074
cell_141,1.0,0.9330329915368074
cell_142,1.0,0.9330329915368074
cell_143,1.0,0.9330329915368074
cell_144,1.0,0.9330329915368074
cell_145,2.0,0.8705505632961241
cell_146,1.0,0.9330329915368074
cell_147,1.0,0.9330329915368074
cell_148,1.0,0.9330329915368074
cell_149,1.0,0.9330329915368074
cell_150,1.0,0.9330329915368074
cell_151,1.0,0.9330329915368074
cell_152,1.0,0.9330329915368074
cell_153,1.0,0.9330329915368074
cell_154,1.0,0.9330329915368074
cell_155,1.0,0.9330329915368074
cell_156,1.0,0.9330329915368074
cell_157,1.0,0.9330329915368074
cell_158,2.0,0.8705505632961241
cell_159,2.0,0.8705505632961241
cell_160,1.0,0.9330329915368074
cell_161,2.0,0.8705505632961241
cell_162,1.0,0.9330329915368074
cell_163,1.0,0.9330329915368074
cell_164,2.0,0.8705505632961241
cell_165,1.0,0.9330329915368074
cell_166,2.0,0.8705505632961241
cell_167,1.0,0.9330329915368074
cell_168,1.0,0.9330329915368074
cell_169,1.0,0.9330329915368074
cell_170,1.0,0.9330329915368074
cell_171,1.0,0.9330329915368074
cell_172,1.0,0.9330329915368074
cell_173,1.0,0.9330329915368074
cell_174,1.0,0.9330329915368074
cell_175,1.0,0.9330329915368074
cell_176,1.0,0.9330329915368074
cell_177,1.0,0.9330329915368074
